AccountCode,Team,Name,Mrg,PinPout,Actual,ExpOptVal,With_Exch,Y_PNL,E_PNL,O_PNL,I_PNL,T_PNL,PL_D0.5U0.5,PL_U0.5D0.5,Client,DT
C749,VEO,DELTAV7V2:108X:VEO:3599,1.3,0.0,0.0,0.0,4.0,0.8,2.2245599999999994,1.5504924999999996,-0.12593250000000003,1.4245599999999996,-1.0,-1.0,3599,02-Apr-2024 14:26:17
C551,VEO,DELTAV7V2:108X:VEO:6760,2.7,-1.0,-1.0,0.0,9.0,2.5,5.5105725,3.0752349999999993,-0.0646624999999997,3.0105725,-1.0,-1.0,6760,02-Apr-2024 14:26:17
C897,VSS,DELTAV7V2:108X:VSS:2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050,02-Apr-2024 14:26:17
C949,VSS,DELTAV7V2:108X:VSS:2056,1.9,-1.0,-1.0,0.0,9.0,2.8,5.694134999999999,3.136885,-0.24275000000000008,2.8941349999999995,-2.0,-1.0,2056,02-Apr-2024 14:26:17
C752,VSS,DELTAV7V2:108X:VSS:2948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2948,02-Apr-2024 14:26:17
C136,NAV,DILIPDAVE:522X:NAV:6760,2.6,0.0,0.0,0.0,0.0,0.5,0.6868175,0.0,0.1868175,0.1868175,0.0,0.0,6760,02-Apr-2024 14:26:17
C476,NAV,DILIPPAREKH:527X:NAV:6760,1.3,0.0,0.0,0.0,0.0,0.7,0.82424,0.0,0.12424000000000002,0.12424000000000002,-2.0,0.0,6760,02-Apr-2024 14:26:17
D192,DIO,DINESHVYAS:909X:DIO:6760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6760,02-Apr-2024 14:26:17
C116,JAI,DIPESHJAIN:119X:JAI:6760,12.3,8.0,8.0,0.0,-3.0,1.8,-0.03422499999993445,-2.581207499999996,0.7469825000000608,-1.8342249999999345,9.0,1.0,6760,02-Apr-2024 14:26:17
C240,VEC,DIPPRICE:906X:VEC:2985,0.1,0.0,0.0,0.0,0.0,-0.3,-0.3183749999999989,-0.002599999999998913,-0.015775000000000004,-0.018374999999998917,0.0,0.0,2985,02-Apr-2024 14:26:17
C239,VEC,DIPPRICE:906X:VEC:2994,0.1,0.0,0.0,0.0,0.0,-0.3,-0.3254749999999989,-0.002599999999998913,-0.022875000000000013,-0.025474999999998926,0.0,0.0,2994,02-Apr-2024 14:26:17
C241,VEC,DIPPRICE:906X:VEC:3535,0.1,0.0,0.0,0.0,0.0,-0.3,-0.3207999999999989,-0.002599999999998913,-0.0182,-0.020799999999998917,0.0,0.0,3535,02-Apr-2024 14:26:17
C527,VEC,DIPPRICE:906X:VEC:3610,0.1,0.0,0.0,0.0,0.0,0.0,-0.023824999999998927,-0.002599999999998913,-0.021225000000000008,-0.023824999999998927,0.0,0.0,3610,02-Apr-2024 14:26:17
C774,VEC,DIPPRICE:906X:VEC:3620,0.1,0.0,0.0,0.0,0.0,0.0,-0.00424499999999935,0.009580000000000652,-0.013825000000000002,-0.00424499999999935,0.0,0.0,3620,02-Apr-2024 14:26:17
C933,VEC,DIPPRICE:906X:VEC:3624,0.1,0.0,0.0,0.0,0.0,-0.1,-0.11161999999999936,0.009580000000000652,-0.021200000000000004,-0.01161999999999935,0.0,0.0,3624,02-Apr-2024 14:26:17
C260,JAI,DISHANTSHAH:933X:JAI:6760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6760,02-Apr-2024 14:26:17
C299,DEL,EQDELHI:913P:DEL:6760,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,6760,02-Apr-2024 14:26:17
C406,JAI,GAURAVDONDA:105X:JAI:6760,1.7,20.0,20.0,0.0,29.0,1.6,1.9650499999999673,0.26667499999999855,0.09837499999996842,0.3650499999999671,1.0,1.0,6760,02-Apr-2024 14:26:17
C735,NAF,GAURAVMUNI:613X:NAF:9771,3.1,13.0,13.0,0.0,1.0,-0.7,-3.7179025000000268,-2.0919899999999996,-0.8871250000000273,-3.0179025000000266,5.0,1.0,9771,02-Apr-2024 14:26:17
C297,JAI,GAURAVUDESHI:942X:JAI:6760,2.5,23.0,23.0,0.0,52.0,0.5,0.9832849999999952,0.5846749999999994,-0.10139000000000414,0.4832849999999952,-2.0,2.0,6760,02-Apr-2024 14:26:17
C840,LIC,GIC:704P:LIC:4090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4090,02-Apr-2024 14:26:17
D134,GQC,GQC1:1444:GQC:3595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595,02-Apr-2024 14:26:17
D136,GQC,GQC1:1444:GQC:3600,0.5,3.0,3.0,0.0,2.0,0.6,0.94877,0.0,0.34877,0.34877,-1.0,0.0,3600,02-Apr-2024 14:26:17
D138,GQC,GQC1:1444:GQC:3601,0.8,3.0,3.0,0.0,3.0,0.9,1.47702,0.0,0.5770200000000001,0.5770200000000001,-1.0,0.0,3601,02-Apr-2024 14:26:17
D140,GQC,GQC1:1444:GQC:3607,0.5,3.0,3.0,0.0,2.0,0.6,0.94256,0.0,0.34256,0.34256,-1.0,0.0,3607,02-Apr-2024 14:26:17
D142,GQC,GQC1:1444:GQC:3610,1.4,6.0,6.0,0.0,5.0,1.5,2.5051775000000003,0.0,1.0051775,1.0051775,-2.0,0.0,3610,02-Apr-2024 14:26:17
D144,GQC,GQC1:1444:GQC:3613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3613,02-Apr-2024 14:26:17
D146,GQC,GQC1:1444:GQC:3615,0.5,3.0,3.0,0.0,2.0,0.6,0.948865,0.0,0.348865,0.348865,-1.0,0.0,3615,02-Apr-2024 14:26:17
D148,GQC,GQC1:1444:GQC:3616,0.9,5.0,5.0,0.0,4.0,1.1,1.773215,0.0,0.673215,0.673215,-1.0,0.0,3616,02-Apr-2024 14:26:17
D150,GQC,GQC1:1444:GQC:3617,0.9,5.0,5.0,0.0,4.0,1.1,1.7937225,0.0,0.6937225,0.6937225,-1.0,0.0,3617,02-Apr-2024 14:26:17
D152,GQC,GQC1:1444:GQC:3619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3619,02-Apr-2024 14:26:17
D154,GQC,GQC1:1444:GQC:3620,0.9,5.0,5.0,0.0,4.0,1.1,1.7937375000000002,0.0,0.6937375,0.6937375,-1.0,0.0,3620,02-Apr-2024 14:26:17
D156,GQC,GQC1:1444:GQC:3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3625,02-Apr-2024 14:26:17
D135,GQC,GQC2:1344:GQC:3595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595,02-Apr-2024 14:26:17
D137,GQC,GQC2:1344:GQC:3600,0.5,3.0,3.0,0.0,2.0,0.5,0.8025025,0.0,0.3025025,0.3025025,-1.0,0.0,3600,02-Apr-2024 14:26:17
D139,GQC,GQC2:1344:GQC:3601,0.8,5.0,5.0,0.0,3.0,0.9,1.420555,0.0,0.520555,0.520555,-1.0,0.0,3601,02-Apr-2024 14:26:17
D141,GQC,GQC2:1344:GQC:3607,0.5,2.0,2.0,0.0,2.0,0.5,0.821235,0.0,0.32123500000000005,0.32123500000000005,0.0,0.0,3607,02-Apr-2024 14:26:17
D143,GQC,GQC2:1344:GQC:3610,1.2,6.0,6.0,0.0,5.0,1.4,2.2278,0.0,0.8278,0.8278,-1.0,-1.0,3610,02-Apr-2024 14:26:17
D145,GQC,GQC2:1344:GQC:3613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3613,02-Apr-2024 14:26:17
D147,GQC,GQC2:1344:GQC:3615,0.5,2.0,2.0,0.0,2.0,0.5,0.8154375,0.0,0.3154375,0.3154375,0.0,0.0,3615,02-Apr-2024 14:26:17
D149,GQC,GQC2:1344:GQC:3616,1.0,5.0,5.0,0.0,4.0,1.1,1.6628100000000001,0.0,0.56281,0.56281,-1.0,0.0,3616,02-Apr-2024 14:26:17
D151,GQC,GQC2:1344:GQC:3617,1.0,5.0,5.0,0.0,4.0,1.1,1.6684050000000001,0.0,0.568405,0.568405,-1.0,0.0,3617,02-Apr-2024 14:26:17
D153,GQC,GQC2:1344:GQC:3619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3619,02-Apr-2024 14:26:17
D155,GQC,GQC2:1344:GQC:3620,1.0,5.0,5.0,0.0,4.0,1.1,1.6870725,0.0,0.5870724999999999,0.5870724999999999,-1.0,0.0,3620,02-Apr-2024 14:26:17
D157,GQC,GQC2:1344:GQC:3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3625,02-Apr-2024 14:26:17
D176,GQO,GQO10:1326:GQO:2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,02-Apr-2024 14:26:17
D177,GQO,GQO10:1326:GQO:2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051,02-Apr-2024 14:26:17
D178,GQO,GQO10:1326:GQO:2660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2660,02-Apr-2024 14:26:17
D179,GQO,GQO10:1326:GQO:3596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3596,02-Apr-2024 14:26:17
D180,GQO,GQO10:1326:GQO:3599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3599,02-Apr-2024 14:26:17
D181,GQO,GQO10:1326:GQO:3622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3622,02-Apr-2024 14:26:17
D175,GQO,GQO10:1326:GQO:6760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6760,02-Apr-2024 14:26:17
D183,GQO,GQO11:1345:GQO:6760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6760,02-Apr-2024 14:26:17
D106,GQO,GQO1:1144:GQO:3596,2.3,6.0,6.0,0.0,4.0,3.2,5.3085675000000005,0.0,2.1085675,2.1085675,-1.0,-1.0,3596,02-Apr-2024 14:26:17
D082,GQO,GQO1:1144:GQO:6760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6760,02-Apr-2024 14:26:17
D204,GQO,GQO2:1242:GQO:9771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9771,02-Apr-2024 14:26:17
D099,GQO,GQO2:1442:GQO:2051,4.3,21.0,21.0,0.0,16.0,6.1,10.883267499999999,0.0,4.783267499999999,4.783267499999999,-6.0,0.0,2051,02-Apr-2024 14:26:17
D083,GQO,GQO2:1442:GQO:6760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6760,02-Apr-2024 14:26:17
D162,GQO,GQO3:1443:GQO:2660,5.4,28.0,28.0,0.0,28.0,0.0,0.184725,0.0,0.184725,0.184725,-6.0,-2.0,2660,02-Apr-2024 14:26:17
D084,GQO,GQO3:1443:GQO:6760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6760,02-Apr-2024 14:26:17
D093,GQO,GQO4:1041:GQO:2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,02-Apr-2024 14:26:17
D085,GQO,GQO4:1041:GQO:6760,6.4,24.0,24.0,0.0,17.0,9.4,16.85677,0.0,7.45677,7.45677,-7.0,-2.0,6760,02-Apr-2024 14:26:17
D094,GQO,GQO5:1141:GQO:2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,02-Apr-2024 14:26:17
D086,GQO,GQO5:1141:GQO:6760,6.4,24.0,24.0,0.0,17.0,12.0,19.5300375,0.0,7.5300375,7.5300375,-7.0,-2.0,6760,02-Apr-2024 14:26:17
D103,GQO,GQO6:1342:GQO:2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051,02-Apr-2024 14:26:17
D087,GQO,GQO6:1342:GQO:6760,4.3,21.0,21.0,0.0,16.0,6.2,11.407767499999999,0.0,5.207767499999999,5.207767499999999,-6.0,0.0,6760,02-Apr-2024 14:26:17
D112,GQO,GQO7:1044:GQO:3596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3596,02-Apr-2024 14:26:17
D088,GQO,GQO7:1044:GQO:6760,4.4,4.0,4.0,0.0,4.0,0.0,-0.46005250000000075,0.0,-0.46005250000000075,-0.46005250000000075,-2.0,-1.0,6760,02-Apr-2024 14:26:17
D205,GQO,GQO7:1244:GQO:9771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9771,02-Apr-2024 14:26:17
D167,GQO,GQO8:1043:GQO:2660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2660,02-Apr-2024 14:26:17
D089,GQO,GQO8:1043:GQO:6760,5.4,29.0,29.0,0.0,29.0,3.3,4.2228249999999985,0.0,0.9228249999999991,0.9228249999999991,-6.0,-2.0,6760,02-Apr-2024 14:26:17
D173,GQO,GQO9:1445:GQO:3599,4.3,21.0,21.0,0.0,16.0,5.9,11.00309,0.0,5.10309,5.10309,-6.0,0.0,3599,02-Apr-2024 14:26:17
D168,GQO,GQO9:1445:GQO:6760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6760,02-Apr-2024 14:26:17
D130,GQS,GQS1:1441:GQS:6760,3.3,11.0,10.0,-1.0,10.0,4.6,4.858245,0.0,0.2582450000000003,0.2582450000000003,-3.0,-4.0,6760,02-Apr-2024 14:26:17
D131,GQS,GQS2:1142:GQS:6760,0.3,6.0,6.0,0.0,0.0,5.5,11.6642975,0.0,6.1642975,6.1642975,0.0,0.0,6760,02-Apr-2024 14:26:17
D059,GQO,GQSYMPHONY:205X:GQO:6760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6760,02-Apr-2024 14:26:17
C982,JAS,HARDIKPATEL:535X:JAS:6760,0.3,0.0,0.0,0.0,0.0,0.0,0.064415,0.0,0.064415,0.064415,0.0,0.0,6760,02-Apr-2024 14:26:17
D185,JAI,HARISHLADDHA:951X:JAI:6760,3.4,2.0,2.0,0.0,24.0,3.2,4.244434999999985,1.3306799999999956,-0.2862450000000114,1.0444349999999847,-1.0,2.0,6760,02-Apr-2024 14:26:17
C803,JAS,HARSHILDOSHI:202X:JAS:6760,1.7,7.0,7.0,0.0,7.0,3.0,2.5051475,0.0,-0.4948525,-0.4948525,-1.0,-2.0,6760,02-Apr-2024 14:26:17
C120G,JAS,HARSHILDOSHI:508X:JAS:6760,21.1,-58.0,-58.0,0.0,-118.0,26.7,36.365305000000205,10.109572500000201,-0.4442674999999987,9.665305000000204,-39.0,-38.0,6760,02-Apr-2024 14:26:17
C624,NAF,HARSHITBHAKHAR:606X:NAF:9771,-0.0,0.0,0.0,0.0,-1.0,0.2,0.2310874999999998,0.008287499999999786,0.0703,0.031087499999999785,0.0,0.0,9771,02-Apr-2024 14:26:17
C403,JAI,HARSHMEHTA:109X:JAI:6760,5.7,4.0,4.0,0.0,47.0,0.8,1.7040375000000045,1.0215975000000008,-0.11755999999999767,0.9040375000000046,-1.0,1.0,6760,02-Apr-2024 14:26:17
C979,NAF,HARSHSHAH:630X:NAF:9771,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,9771,02-Apr-2024 14:26:17
